   utc         ob   clim   f1    f2    f3    f4    f5    f6    f7
1430406000    0.0    49    NA    NA    NA    NA    NA    NA    NA 
1430492400    0.0    33     4    NA    NA    NA    NA    NA    NA 
1430578800    0.0    33     3     6    NA    NA    NA    NA    NA 
1430665200    0.0    33    14     0     7    NA    NA    NA    NA 
1430751600    0.0    33     1     0     0     4    NA    NA    NA 
1430838000    0.0    33     9     3     3     2    10    NA    NA 
1430924400    0.0    33    15    16    18    13    13    28    NA 
1431010800    0.2    33    18    11    12    26    21    28    27 
1431097200    0.0    33     1     8    12    14    21    21    27 
1431183600    0.0    33    13    21    21    19    16    16    16 
1431270000    0.0    33     1    10    10     9     8     9     9 
1431356400    0.0    33     0     2     2     1     7    12    12 
1431442800    0.0    33     0     6     0     1     1     3     1 
1431529200    0.0    33    12    12     8     3     7    19    17 
1431615600    0.0    33    25    26    26    28    26    23    37 
1431702000   13.4    33    50    43    40    40    43    44    31 
1431788400    0.2    33    48    45    45    42    42    33    20 
1431874800    0.2    33    34    42    42    41    40    40    37 
1431961200    0.0    33    25    44    45    45    34    38    38 
1432047600    0.0    33    11     7    35    34    30    32    31 
1432134000    0.0    33    22    10    11    15    21    13    29 
1432220400    0.0    33     9    16     7    13    23    16     7 
1432306800    0.0    33     3    11    16    14    37    26    23 
1432393200    0.0    33    28    12    27    27    25    25    31 
1432479600    4.2    33    43    64    49    50    50    42    56 
1432566000    2.6    33    48    45    46    23    45    45    23 
1432652400    0.6    33    24    40    35    40    50    29    29 
1432738800    0.0    33    27    40    42    32    43    31    26 
1432825200    0.8    33    35    37    37    35    30    40    33 
1432911600    4.8    33    48    32    40    40    29    29    30 
1432998000    0.2    33     7    26    23    32    39    30    30 
1433084400    1.0    33    30    43    20    20    18    18    19 
1433170800    2.2    24    35    29    34    16    16    21    27 
1433257200    0.6    24    34    33    36    41    45    45    45 
1433343600    0.0    24    10    19    12    28    37    26    26 
1433430000    0.0    24     1     9     8     1    16     9    14 
1433516400    0.0    24     5     3     6     9     8    14     3 
1433602800    0.8    24    26    20    18    34    27    21    25 
1433689200    1.2    24    53    36    35    27    41    35    21 
1433775600    5.4    24    NA    42    57    51    23    34    34 
1433862000    6.2    24    50    NA    40    54    50    23    35 
1433948400   30.2    24    64    58    NA    56    50    47    24 
1434034800   20.8    24    64    57    62    NA    55    53    52 
1434121200    6.6    24    54    53    51    58    NA    45    37 
1434207600    2.2    24    38    44    44    49    49    NA    46 
1434294000    7.0    24    48    36    38    39    40    40    NA 
1434380400    0.8    24    43    36    36    30    30    30    31 
1434466800    0.0    24    28    24    12    12    13    29    29 
1434553200    0.0    24    13    12    25    19    19     6    24 
1434639600    0.0    24    19    12     3    21    13    13    12 
1434726000    1.4    24    11    25    18     6    20    18    12 
1434812400   13.2    24    10    25    29    13    11    25    18 
1434898800    8.4    24    23    37    39    41    24    48    30 
1434985200   14.2    24    45    37    39    39    38    26    20 
1435071600   13.4    24    47    44    39    39    39    43    29 
1435158000    0.0    24    34    23    38    48    33    33    37 
1435244400    0.4    24    32    33    15    32    32    32    33 
1435330800    1.4    24    26    41    48    37    37    30    30 
1435417200    8.4    24    43    31    49    54    41    41    31 
1435503600   29.2    24    72    64    42    53    58    34    34 
1435590000    5.0    24    NA    52    33    33    39    45    43 
1435676400    0.0    24    27    NA    18    17    17    20    20 
1435762800    0.0    18     8    26    NA    15    26    26    25 
1435849200    0.0    18    15     8    10    NA    11    17    17 
1435935600    0.0    18    15     0    18    18    NA    20    17 
1436022000    1.0    18    16    29    28    26    31    NA    35 
1436108400    0.4    18    23    24    24    19    25    13    NA 
1436194800    0.0    18    13     5    16    16     7    15    36 
1436281200    0.0    18     3     4    22    28    28    23    20 
1436367600    0.0    18    10    13    17    12    15    18    23 
1436454000    2.8    18    35     8     3    10    25    24    24 
1436540400    0.0    18    15    25    14     3    17    10     7 
1436626800    0.0    18    11     5     6     8     0    14     7 
1436713200    0.0    18     0     0     1     0     0     0     1 
1436799600    0.0    18     0     2     0     1     2     0     0 
1436886000    0.0    18     3     1     6     3     2     0     0 
1436972400    0.0    18     0     2     0     6     5     5     0 
1437058800    0.0    18     0     0     4     1    16    12    12 
1437145200    0.0    18     0     6     6     5     0    14     8 
1437231600    0.0    18    13    10    18    18     4     4    10 
1437318000    0.0    18    44    31    28     8     8     8     8 
1437404400    0.0    18    NA    44    34    31    29    29    26 
1437490800    1.4    18    55    NA    66    50    43    28    30 
1437577200    3.2    18    48    54    NA    63    43    38     9 
1437663600    2.0    18    24    23    22    NA    33    28    26 
1437750000    0.0    18     9    40    33    18    NA    31    28 
1437836400    0.0    18    26    28    29    23    22    NA    16 
1437922800    0.0    18    29    26    18    24    24    24    NA 
1438009200    6.0    18    56    45    35    33    32    32    35 
1438095600    4.0    18    62    53    61    58    36    18    18 
1438182000    0.2    18    40    28    24    58    55    40    37 
1438268400    3.6    18    27    25    24    22    25    32    33 
1438354800    5.2    18    40    20    17    20    19    25    30 
1438441200    0.0    15    24    21    19    20    26    24    14 
1438527600    0.0    15    12    13    15    13    11     9    22 
1438614000    0.0    15     0     5     4     5     7     5     2 
1438700400    0.0    15     4    19    21    17    19    19    10 
1438786800    0.0    15     0     0     1     5     2    10    10 
1438873200    0.0    15     1     3     3     1     7     7     3 
1438959600    0.0    15     1     5     3     3     7    12     9 
1439046000    0.0    15     2     8     8     9     9    20     4 
1439132400    0.0    15     1     2     3     3    14    14    15 
1439218800    0.0    15     1     5     5     1     1     4     6 
1439305200    0.0    15     0     3     1     1     9     9     4 
1439391600    0.0    15     0     0     4     7     3     2     2 
1439478000    0.0    15     2     1     0     0     0     1    25 
1439564400    0.0    15    17     7     7     6     0     0     0 
1439650800    0.8    15    37    17    17    30    25    17    17 
1439737200    0.0    15     7     3     4     4    11    12    20 
1439823600    0.0    15     2     2     2     4     1     1    17 
1439910000    0.0    15     3     8     8     6     9     1     1 
1439996400    0.0    15     1     9    21    19    21    17     2 
1440082800    0.0    15     0    25    29    46    31    28    23 
1440169200    0.0    15     0    32    34    38    28    17    25 
1440255600   10.8    15    39    43    43    37    35    34    17 
1440342000    0.2    15    28    15    20    20    21    16     9 
1440428400    0.2    15     7     3     9    17    12    15     9 
1440514800    0.0    15    13    14     1    19    19    18    NA 
1440601200    0.0    15    10    18    18     9     9    25    24 
1440687600    0.0    15     9    18    16    23     5     4    24 
1440774000    0.0    15     4    12    19    16    23     4     4 
1440860400    0.0    15     5     8     2    13     8    12     2 
1440946800    0.0    15    11     0     0     1     4     4    12 
1441033200    0.0    15    19     0     0     0     0     2     2 
1441119600    0.0    16     9     8    10    14    14     1     1 
1441206000    0.0    16     2     0     0     0     4     4     1 
1441292400    0.0    16     0     0     0     0     0     1     1 
1441378800    0.0    16     2     2     7     8     7     6     7 
1441465200    0.2    16     2     3     5     4     1    10    10 
1441551600    0.2    16     2    20    19    20    20     8    19 
1441638000    0.0    16     1    22    27    22    15    10    10 
1441724400    0.0    16     2     1    11    12    22    15     8 
1441810800    0.2    16    35    29    24    22    27    35    33 
1441897200    0.4    16    31    17    36    36    28    38    31 
1441983600    0.2    16    33    31    26    35    35    30    26 
1442070000    0.6    16    38    29    29    24    35    35    30 
1442156400    7.0    16    NA    58    33    33    28    32    32 
1442242800    3.6    16    33    NA    40    35    19    19    15 
1442329200    0.0    16     8    15    NA    15     8     7     7 
1442415600    0.0    16    NA     9     9    NA    24     3     6 
1442502000    0.0    16     0    NA     2     0    NA     1     1 
1442588400    0.0    16     3    19    NA    12    16    NA     5 
1442674800    0.0    16    10    31    28    NA    15    23    NA 
1442761200    0.0    16    20    15     6     5    NA     4    11 
1442847600    0.0    16     4     4    10     2     1    NA    14 
1442934000    0.0    16     4     4     9    19     1     1    NA 
1443020400    0.0    16    15    28    28    26    18    16    14 
1443106800    0.0    16    18    13    20    20    17    18    12 
1443193200    0.0    16    55    25    19    11    11    15    18 
1443279600    0.0    16     5     8     3     2     4     3     3 
1443366000    0.0    16     6     3     3     1     4    11    11 
1443452400    0.0    16     3    13    11     3     4     7     8 
1443538800    0.0    16     2     2    11     8     7    10     1 
1443625200    0.0    16     8     7     6    10     8     8    10 
1443711600    0.0    18    11    11     7     7     8     3    14 
1443798000    5.8    18    36    43    26    17    18    15     2 
1443884400    4.2    18    44    43    48    32    25    21    22 
1443970800    0.2    18    57    43    35    31    31    28    35 
1444057200    4.2    18    38    36    37    38    42    43    31 
1444143600    3.0    18    49    32    32    32    38    38    37 
1444230000    1.8    18    36    37    19    24    24    33    33 
1444316400    6.8    18    37    37    33    27    28    28    19 
1444402800    2.6    18    62    45    45    33    37    18    18 
1444489200    8.0    18    55    41    45    45    23    32    33 
1444575600    3.0    18    33    30    30    31    28    17    24 
1444662000    0.0    18     3     3     9     9    13    10    11 
1444748400    0.0    18     3     6    11    16    16     9     9 
1444834800    0.0    18    15    27    27    36    28    28    24 
1444921200    3.8    18    44    40    30    30    31    31    31 
1445007600    1.2    18    36    32    20    13    13    13    13 
1445094000    6.4    18    47    40    39    28    22    22     5 
1445180400    2.0    18    46    41    29    29    38    29     4 
1445266800   11.0    18    53    49    42    30    28    50    12 
1445353200    0.2    18    13    22    22    23    11    10    13 
1445439600    0.2    18    11    16    15    15    12     4     2 
1445526000    0.0    18     2     3    17    18    21    15    24 
1445612400    0.0    18    19    14    14    10    17    14    12 
1445698800    0.0    18    22    18    18    24    24    17    21 
1445785200    0.0    18    17    14    21    24    24    24    16 
1445871600    0.0    18    10    10    15     7    11     3     3 
1445958000    0.0    18     1     2     7     7     4     1     2 
1446044400    0.0    18     4     6     4     4     4     2     1 
1446130800    0.0    18     8     7     7     5     9    12    23 
1446217200    0.6    18    25    17    17    17    20    14    24 
1446303600   11.0    18    27    28    25    25    25    21     7 
1446390000    0.0    26    19    11    16    13    13    13    15 
1446476400    0.0    26    18    12    14    18    22    22    22 
1446562800    0.0    26    13    16    23    10    16    16    14 
1446649200    0.2    26    22    21    23    12     3    16    13 
1446735600    0.2    26    31    14    38    27    20    26    18 
1446822000    0.0    26    16    12    12    20     0     3     8 
1446908400    0.0    26     8    19    22    22     8    16    15 
1446994800    0.2    26    35    28    28    30    30    12    18 
1447081200   24.4    26    67    44    25    26    27    18    25 
1447167600    8.2    26    34    33    33    26    25    24    28 
1447254000    0.0    26    11    12    12    15    15    21    27 
1447340400    0.0    26     9    11     9    10     4     5    19 
1447426800    0.0    26    18    17    12     9     4    19    19 
1447513200    3.6    26    40    33    33    24    22    29    14 
1447599600    0.2    26    16    15    48    48    33    31    30 
1447686000    3.0    26    50    51    51    48    42    38    47 
1447772400    1.4    26    39    30    33    33    24    24    29 
1447858800    0.8    26    33    28    19    21    21     8     8 
1447945200    0.0    26    20    17    15     7     7     7     4 
1448031600    4.4    26    36    29    29    16    14    21    21 
1448118000   24.4    26    62    55    28    28    10    29    32 
1448204400    7.0    26    57    39    46    35    35    22    27 
1448290800    0.0    26    32    19    17    17    19    19    32 
1448377200    0.0    26    15    11    11    11    14    13    13 
1448463600    0.0    26    NA    16    19    19    16    10    21 
