   utc      ob   clim   f1    f2    f3    f4    f5    f6    f7
1430474400  13.0  8.7   NA    NA    NA    NA    NA    NA    NA  
1430560800  15.7  8.7  15.2   NA    NA    NA    NA    NA    NA  
1430647200  11.0  8.7  11.2  11.7   NA    NA    NA    NA    NA  
1430733600  5.1  8.7  6.1  5.7  4.0   NA    NA    NA    NA  
1430820000  6.0  8.7  9.1  7.6  7.7  5.1   NA    NA    NA  
1430906400  7.8  8.7  9.5  9.5  7.6  7.0  7.1   NA    NA  
1430992800  4.9  8.7   NA   8.8  8.1  7.2  7.0  7.2   NA  
1431079200  3.6  8.7  5.2   NA   7.8  7.5  8.1  8.2  8.3 
1431165600  6.7  8.7  7.6  7.2   NA   8.8  8.2  8.6  7.1 
1431252000  6.7  8.7  7.7  8.3  9.2   NA   8.3  9.3  8.8 
1431338400  10.5  8.7  11.6  11.7  11.4  10.5   NA   10.2  10.1 
1431424800  7.5  8.7  9.4  9.4  9.8  9.7  10.2   NA   11.8 
1431511200  8.7  8.7  7.5  7.4  7.4  7.6  8.1  9.0   NA  
1431597600  6.0  8.7  6.0  6.4  6.4  6.8  7.4  6.9  8.3 
1431684000  10.8  8.7  8.4  9.1  10.4  11.0  8.4  9.7  8.0 
1431770400  11.9  8.7  12.9  12.7  12.8  10.5  10.6  12.4  9.5 
1431856800  12.8  8.7  11.9  10.2  10.7  11.3  10.9  8.4  10.7 
1431943200  7.8  8.7  9.6  9.7  10.0  10.0  9.9  9.0  7.8 
1432029600  2.9  8.7  6.5  5.8  5.0  5.1  6.9  9.3  10.7 
1432116000  8.3  8.7  6.1  6.0  5.8  5.8  6.0  6.0  10.6 
1432202400  9.3  8.7  7.2  6.8  7.1  6.9  6.3  6.7  8.3 
1432288800  7.7  8.7  9.5  9.5  8.2  7.7  7.4  7.6  7.8 
1432375200  7.2  8.7  8.5  8.5  9.0  8.0  8.9  7.9  9.3 
1432461600  6.7  8.7  8.5  8.3  10.4  9.2  7.5  8.4  8.8 
1432548000  9.8  8.7  9.0  9.0  7.7  9.9  9.9  9.2  10.3 
1432634400  6.3  8.7  7.5  8.3  7.9  7.7  6.3  4.3  6.8 
1432720800  6.0  8.7   NA   7.8  8.3  8.2  8.1  5.3  7.5 
1432807200  5.7  8.7  6.8   NA   7.4  7.8  7.1  8.6  6.3 
1432893600  2.9  8.7  5.5  5.5   NA   6.0  6.5  5.6  7.2 
1432980000  2.5  8.7  4.3  5.6  3.7   NA   4.7  4.7  4.2 
1433066400  5.9  8.7  3.9  4.6  4.8  4.8   NA   5.6  5.6 
1433152800  10.4  6.3  8.7  9.3  10.5  10.1  10.0   NA   7.5 
1433239200  8.9  6.3  8.7  8.4  8.9  9.8  9.8  9.8   NA  
1433325600  6.9  6.3  7.8  7.8  8.1  8.0  8.6  9.3  9.8 
